canopy_height,cultivar,season,range,column,leaf_angle_mean,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,date,day_offset,single_xgboost,abserror_single_xgboost,single_dtree,abserror_single_dtree,per_cultivar_gboost,abserror_per_cultivar_gboost
25.0,PI563196,4,47,7,0.393911128385,3.58152995575,2.03927613953,2.0102713692,2017-05-16 12:00:00,15,25.921313725811487,3.685254903245948,20.68421052631579,17.263157894736835,25.005305345624045,0.02122138249617933
16.0,PI570373,4,21,2,0.434623858986,3.039431356,2.08857262761,1.7828140863900004,2017-05-16 12:00:00,15,15.738785370738123,1.632591432886732,16.2,1.2499999999999956,16.001543236326622,0.00964522704138826
17.0,PI330184,4,22,6,0.426995817421,2.9582754375,2.01775404161,1.8206821470900003,2017-05-16 12:00:00,15,16.816860630427648,1.0772904092491293,16.2,4.705882352941181,17.004875081404666,0.02867694943921355
14.0,PI569435,4,22,11,0.385933223864,4.1358913448,2.3715572546200003,1.97796802041,2017-05-16 12:00:00,15,14.948422932111233,6.7744495150802395,16.2,15.71428571428571,14.001273244005588,0.00909460003991772
22.0,PI651496,4,39,3,0.4207874541210001,3.02922290933,1.96144202803,1.87053187235,2017-05-16 12:00:00,15,22.552613931952934,2.5118815088769706,20.68421052631579,5.98086124401913,22.005232595580853,0.023784525367515578
17.0,PI563002,4,51,11,0.42684893095,3.70584296809,2.42691198769,1.8129245454700005,2017-05-16 12:00:00,15,20.42693215591186,20.15842444654035,20.68421052631579,21.67182662538701,17.004397660305884,0.025868590034610194
18.0,PI535795,4,51,2,0.427429345722,3.20922758532,2.0789408329700003,1.83992418999,2017-05-16 12:00:00,15,19.494739902839548,8.304110571330822,20.68421052631579,14.912280701754396,18.005356933697833,0.029760742765737466
29.0,PI453696,4,43,2,0.430595351799,3.24950824698,2.23893068071,1.78074728196,2017-05-16 12:00:00,15,22.954790511294576,20.84554996105319,20.68421052631579,28.675136116152444,29.004517469041193,0.015577479452390767
19.0,PI181080,4,33,2,0.421610761705,3.89899666044,2.44916427519,1.84199049573,2017-05-16 12:00:00,15,20.942883769280265,10.225704048843497,16.2,14.736842105263161,19.005173270111552,0.027227737429220456
22.0,PI329570,4,21,3,0.419924015944,3.31215656244,2.15101419222,1.8437669184,2017-05-16 12:00:00,15,16.298923975339534,25.913981930274847,16.2,26.36363636363637,22.003765893121255,0.0171176960057034
17.0,PI154846,4,23,10,0.370519713262,4.8799690376800005,2.67118471297,2.01429906068,2017-05-16 12:00:00,15,19.353304162312337,13.84296566066081,16.2,4.705882352941181,17.0053913678717,0.03171392865705179
